,mouse,date,session,cluster_id,parameters_0,parameters_1,parameters_2,pearson_score
56,1544,2023-05-03,of2,22,31.443400696911006,32.4398153224267,0.03124384722780868,0.16696656189226752
57,1544,2023-04-17,of,3,18.229078476879607,31.530078491040587,0.11477666687979828,0.47430005550782794
58,1544,2023-04-17,of,4,17.62348599354541,30.078314373939122,0.08407300864940397,0.31280677618137775
59,1544,2023-04-17,of,5,23.0154501828856,17.824779471148332,0.05112781354773328,0.7506390215746758
60,1544,2023-04-17,of,17,27.171412648717737,16.3511252886562,0.05492473421453754,0.2911009671825239
61,1544,2023-04-17,of,18,30.44341160638715,25.994659310131453,0.14856957627042552,0.09737039418344214
62,1544,2023-04-17,of,20,16.996269200741576,31.4291991417708,0.23141405859769168,0.13377077106117324
63,1544,2023-04-17,obj,3,17.872721677035916,12.876632424730898,0.0498237479361507,0.7567065466483642
64,1544,2023-04-17,obj,4,20.975678084790616,24.115758980060484,0.15113733211575542,0.26596883290610845
65,1544,2023-04-17,obj,5,23.348688214056814,20.18437845791959,0.05554431494919627,0.6998336079686716
66,1544,2023-04-17,obj,17,24.230179347338044,13.292597613789862,0.07900641369370347,0.44576833441329133
67,1544,2023-04-17,obj,18,17.665914528107674,13.173985132998158,0.16308014408143046,0.20207594396378484
68,1544,2023-04-17,obj,20,20.691970538978513,16.819067445438098,0.13472626218311012,0.43360944306999416
69,1544,2023-04-17,of2,3,31.116829340881555,23.015107153510915,0.029613930495206425,0.333079507129972
70,1544,2023-04-17,of2,4,24.438011252543525,31.69103596049395,0.06523921017602957,0.42472826276538256
71,1544,2023-04-17,of2,5,22.100809227411894,19.29146537024523,0.07327875121006903,0.4766928580200077
72,1544,2023-04-17,of2,17,12.949399193065615,28.06540414664677,0.08040387861482139,0.3878407553045307
73,1544,2023-04-17,of2,18,15.886700807223766,13.818730538729016,0.16242909679071205,0.36738282473318706
74,1544,2023-04-17,of2,20,,,,
75,1544,2023-05-05,of,3,22.643789662176452,18.918364411360415,0.08010061484280344,0.4946993525092669
76,1544,2023-05-05,of,14,10.726719906558786,25.47004977244367,0.04151253882016644,0.3042757942275418
77,1544,2023-05-05,obj,3,21.899442787214397,19.39395327326927,0.06666308629267974,0.6712150883969957
78,1544,2023-05-05,obj,14,13.999754823919588,26.000328261908354,-0.18363745635936873,-0.022455921435501933
79,1544,2023-05-05,of2,3,21.29685269302336,20.121524391718935,0.08032454698896567,0.5937820240004409
80,1544,2023-05-05,of2,14,11.94167589277457,26.103926939331554,0.014461890960556903,0.08526569304105014
81,1544,2023-05-12,of,2,16.07144650510909,15.32473982671128,0.043533107238772316,0.45508396437776083
82,1544,2023-05-12,of,5,16.889018778584514,24.7358229460357,0.03337735714111331,0.34475048015018656
83,1544,2023-05-12,of,9,13.307222998595075,18.84876346385408,0.4343374999962442,0.052035960666447396
84,1544,2023-05-12,obj,2,14.523255832841317,16.80782758055809,0.052977936254728866,0.8139679792179729
85,1544,2023-05-12,obj,5,22.816479879508098,21.945636050705087,0.03327598000258999,0.3056450044805765
86,1544,2023-05-12,obj,9,13.145242651185075,28.76103641375839,0.18814426258895056,0.37802403167706206
87,1544,2023-05-12,of2,2,14.99505084476217,15.383330375136168,0.037051604430581274,0.5535685564566887
88,1544,2023-05-12,of2,5,17.03733758965255,26.757754023052584,0.03325048451990717,0.44663373544309315
89,1544,2023-05-12,of2,9,10.897153478108905,18.651712292703202,0.2807743683543042,0.2704455276420931
