,mouse,date,sessions,protocols
118,1748,2024-03-28,"['of', 'obj', 'of1', 'obj1', 'of2', 'opto', 'opto1']","['5', '5', '5', '5', '5', '5', '5']"
119,1748,2024-04-11,"['of', 'opto', 'opto1']","['U', 'U', 'U']"
120,1474,2022-10-17,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
121,1474,2022-09-28,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
122,1474,2022-08-15,"['of', 'opto']","['U', 'U']"
123,1474,2022-09-30,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
124,1474,2022-08-29,"['of', 'opto']","['4', '4']"
125,1474,2022-09-26,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
126,1474,2022-08-22,"['of', 'opto']","['4', '4']"
127,1474,2022-10-07,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
128,1474,2022-10-28,"['of1', 'of2', 'opto']","['4', '4', '4']"
129,1474,2022-09-21,"['of', 'opto']","['4', '4']"
130,1474,2022-10-19,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
131,1474,2022-09-16,"['of', 'opto']","['4', '4']"
132,1474,2022-10-12,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
133,1474,2022-10-05,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
134,1474,2022-09-23,"['of', 'opto']","['4', '4']"
135,1474,2022-08-19,"['of', 'opto']","['4', '4']"
136,1474,2022-10-24,"['of1', 'of2', 'of3', 'opto']","['4', '4', '4', '4']"
137,1474,2022-08-31,"['of', 'opto']","['4', '4']"
138,1474,2022-09-14,"['of', 'opto']","['4', '4']"
139,1636,2023-07-19,"['of', 'obj', 'obj2', 'of2', 'opto', 'opto2']","['3', '3', '3', 'U', 'U', 'U']"
140,1636,2023-07-28,"['of', 'obj', 'obj2', 'of2', 'opto', 'opto2']","['3', '3', '3', 'U', 'U', 'U']"
141,1636,2023-07-12,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', 'U', 'U']"
142,1636,2023-07-24,"['of', 'obj', 'of2', 'opto', 'opto2']","['1', '1', '1', 'U', 'U']"
